ID,time,devEUI,deviceName,in6,in18,in36,moist_open_6,moist_open_18,moist_open_36,moist_sub_6,moist_sub_18,moist_sub_36
4385e4ce-6a42-11e9-a501-b827eb637591,1556516844,0004A30B00241049,0241049,TERA00239e,TERA00247a,TERA00247b,2.8353,2.8181,2.9024,2.2988,2.2994,2.4289
4ff359a6-7561-11e9-9179-b827eb637591,1557739643,0004A30B00241063,0241063,TERA00089a,TERA00081d,TERA00081e,2.8514,2.8299,2.7338,2.0968,2.1221,1.9692
1734be2a-756b-11e9-ac02-b827eb637591,1557743842,0004A30B0024108E,024108E,TERA00095c,TERA00051c,TERA00095d,2.8361,2.8565,2.9363,2.1847,2.2927,2.059
c831285e-76d7-11e9-bd90-b827eb637591,1557900476,0004A30B002410CD,02410CD,TERA00205b,TERA00205c,TERA00205d,2.8393,2.8399,2.845,2.2379,2.3072,2.1694
ce4568e8-753a-11e9-a4cb-b827eb637591,1557723104,0004A30B0024110F,024110F,TERA00214a,TERA00214b,TERA00214c,2.8267,2.8439,2.9449,2.127,2.2693,2.3188
f79cab0c-65a4-11e9-9782-b827eb637591,1556009481,0004A30B00241142,0241142,TERA00096d,TERA00096e,TERA000121a,2.8326,2.8133,2.918,2.3174,2.2124,2.3415
0f3ff678-76d1-11e9-9332-b827eb637591,1557897589,0004A30B0024115E,024115E,TERA000134a,TERA000134b,TERA000134c,2.8307,2.824,2.8971,2.2535,2.2201,2.1989
337f1d48-6a3d-11e9-a3e1-b827eb637591,1556514670,0004A30B002411A8,02411A8,TERA00195b,TERA00195c,TERA00195d,2.8146,2.8415,2.8555,2.4232,2.4136,2.1479
79a9d6f6-7568-11e9-b2ab-b827eb637591,1557742719,0004A30B0024133F,024133F,TERA00230a,TERA00230b,TERA00230c,2.8307,2.8001,2.7952,2.2639,2.1911,2.2231
784b08be-76d2-11e9-8191-b827eb637591,1557898194,0004A30B00241354,0241354,TERA00227a,TERA00227b,TERA00227c,2.7947,2.7354,2.8581,2.2247,2.071,2.2986
3503153c-bf26-11e9-934a-b827eb637591,1565850643,0004A30B00241415,0241415,TER19260096a,TER19260122e,TER19260096e,2.8135,2.795,2.7942,2.3211,2.2352,2.3357
27bc11a4-7538-11e9-910a-b827eb637591,1557721966,0004A30B0024141B,024141B,TERA00208e,TERA00046b,TERA00046a,2.831,2.841,2.9129,2.3034,2.2854,1.8054
6700b5ac-76d4-11e9-b6c0-b827eb637591,1557899024,0004A30B002414A4,02414A4,TERA00322c,TERA00322d,TERA00322e,2.86,2.8592,2.8431,2.2527,2.2454,2.1084
29d0c158-c25c-11e9-a942-b827eb637591,1566203671,0004A30B0024152A,024152A,TER19260045a,TER19260041d,TER19260041e,2.424,2.4095,2.3456,2.4216,2.3843,2.3346
3eb271d6-7557-11e9-8b55-b827eb637591,1557735319,0004A30B0024156E,024156E,TERA00187a,TERA00187b,TERA00187c,2.8095,2.814,2.9183,2.1809,2.1371,2.2094
8d2b1dd8-bf4c-11e9-a35d-b827eb637591,1565867112,0004A30B0024255D,024255D,TER19260011a,TER19260011b,TER19260011d,2.7958,2.8549,2.8911,2.2172,2.232,2.3558
0846e3ac-754d-11e9-af79-b827eb637591,1557730932,0004A30B002425FF,02425FF,TERA00314e,TERA00313a,TERA00313b,2.8573,2.8396,2.922,2.1283,2.1379,2.2577
3332198e-7524-11e9-836d-b827eb637591,1557713395,0004A30B002426D7,02426D7,TERA00249d,TERA00249e,TERA00248a,2.8329,2.8184,2.8847,2.2768,2.2218,2.3633
e5aec1a0-7544-11e9-9c1f-b827eb637591,1557727438,0004A30B00242742,0242742,TERA00189a,TERA00189b,TERA00189c,2.8125,2.8366,2.8944,2.2185,2.1952,2.081
3d17e60a-bfd3-11e9-a543-b827eb637591,1565924960,0004A30B0024274E,024274E,TER19260065c,TER19260065d,TER19260065e,2.8205,2.8302,2.8613,2.3827,2.3378,2.2846
8e73f2de-755d-11e9-92e9-b827eb637591,1557738029,0004A30B00242757,0242757,TERA00081a,TERA00081b,TERA00081c,2.8253,2.853,2.9105,2.2548,2.2277,1.9752
ca84c272-bf26-11e9-b1bc-b827eb637591,1565850894,0004A30B0024276C,024276C,TER19260116a,TER19260098e,TER19260004e,2.8114,2.8044,2.8283,2.373,2.3268,2.2037
82759d86-76dc-11e9-8f7e-b827eb637591,1557902507,0004A30B0024297C,024297C,TERA00087a,TERA00087b,TERA00087c,2.7891,2.81,2.9145,1.7426,2.0587,2.1578
60b02980-754e-11e9-ad4b-b827eb637591,1557731510,0004A30B00242B15,0242B15,TERA00171a,TERA00171b,TERA00171d,2.8221,2.8385,2.8979,2.2024,2.1826,2.1084
119c0ae2-7523-11e9-94ec-b827eb637591,1557712909,0004A30B00242B4B,0242B4B,TERA00222a,TERA00222b,TERA00222c,2.8544,2.831,2.9116,2.2725,2.2392,2.3314
8cb9de56-c240-11e9-8ef8-b827eb637591,1566191811,0004A30B00242B52,0242B52,TER19260113a,TER19260113b,TER19260113c,2.8412,2.8275,2.7684,2.211,2.2475,2.1049
3819f080-76d6-11e9-a32d-b827eb637591,1557899805,0004A30B00242B84,0242B84,TERA00312a,TERA00312b,TERA00312c,2.8103,2.8073,2.9422,2.1933,2.2035,2.103
92a5ceac-755f-11e9-8eff-b827eb637591,1557738895,0004A30B002435F6,02435F6,TERA00210a,TERA00210b,TERA00210c,2.7886,2.8506,2.9465,2.1331,2.2456,2.0977
6a059f98-c7c3-11e9-a555-bbac7aa2a3e1,1566797772,0004A30B00243650,0243650,TER19260092b,TER19260092c,TER19260053e,2.2994,2.4141,2.4732,2.2972,2.4141,2.4302
